,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN
,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-22 00:00:00-05:00,194.44216262458167,194.6713041108371,192.24052549970972,192.86814880371094,37122800,0.0,0.0,140.60862873776802,141.82723137678937,140.54869995901234,141.3278045654297,26514600,0.0,0.0,371.648843361054,373.1406900640303,370.6841146123947,372.5439453125,17091100,0.0,0.0,153.77000427246094,154.35000610351562,152.7100067138672,153.4199981689453,29480100,0.0,0.0
2023-12-26 00:00:00-05:00,192.87808625802475,193.15702654279883,192.10103615028186,192.32020568847656,28919300,0.0,0.0,141.42768465717964,142.51643147785757,141.02814929366576,141.35777282714844,16780300,0.0,0.0,372.96165289509315,374.8911102742062,371.46980628351275,372.6235046386719,12673100,0.0,0.0,153.55999755859375,153.97999572753906,153.02999877929688,153.41000366210938,25067200,0.0,0.0
2023-12-27 00:00:00-05:00,191.7623368685013,192.7685133001503,190.36762015806895,192.41983032226562,48087700,0.0,0.0,141.4276785474943,141.9171223017574,139.72963046397038,140.20907592773438,19628600,0.0,0.0,371.65877331795474,373.02132169061383,370.78355178908555,372.0367126464844,14905400,0.0,0.0,153.55999755859375,154.77999877929688,153.1199951171875,153.33999633789062,31434700,0.0,0.0
2023-12-28 00:00:00-05:00,193.4060861494978,193.92412463427104,192.43975185339073,192.84820556640625,34049900,0.0,0.0,140.61861694567418,140.97820487269638,139.58979889583512,140.06924438476562,16045700,0.0,0.0,373.3296194550034,374.4136909666463,372.12620507627264,373.2401123046875,14327000,0.0,0.0,153.72000122070312,154.0800018310547,152.9499969482422,153.3800048828125,27057000,0.0,0.0
2023-12-29 00:00:00-05:00,193.1669858687692,193.6650956984474,191.00519103209842,191.8021697998047,42628800,0.0,0.0,139.46993267296267,140.19909153145352,138.62090101871024,139.5298614501953,18727200,0.0,0.0,373.956180608808,375.10987885076185,371.4498894738907,373.9959716796875,18723000,0.0,0.0,153.10000610351562,153.88999938964844,151.02999877929688,151.94000244140625,39789000,0.0,0.0
2024-01-02 00:00:00-05:00,186.44250337800963,187.72763525264537,183.1948327572495,184.93821716308594,82488700,0.0,0.0,138.3911659155422,139.2901280368553,136.32353169870765,138.0115966796875,23711200,0.0,0.0,371.8278333128194,373.85675319437513,364.77637533441424,368.8540954589844,25258600,0.0,0.0,151.5399932861328,152.3800048828125,148.38999938964844,149.92999267578125,47339400,0.0,0.0
2024-01-03 00:00:00-05:00,183.5235814240684,185.17730965785773,182.73655940388082,183.553466796875,58414500,0.0,0.0,137.09265848156156,139.4699349594039,136.92285519618662,138.7607421875,24212100,0.0,0.0,367.00421754136386,371.2311162250648,366.5069353432814,368.5855712890625,23083500,0.0,0.0,149.1999969482422,151.0500030517578,148.3300018310547,148.47000122070312,49425500,0.0,0.0
2024-01-04 00:00:00-05:00,181.46141882335,182.39786780732265,180.1962307034869,181.2223358154297,71983600,0.0,0.0,138.26131417699847,139.0004713315751,136.19369514009492,136.233642578125,27137700,0.0,0.0,368.65517399212956,371.071958032483,365.17419883301005,365.94000244140625,20901500,0.0,0.0,145.58999633789062,147.3800048828125,144.0500030517578,144.57000732421875,56039800,0.0,0.0
2024-01-05 00:00:00-05:00,181.30202210783074,182.06910030424723,179.48889502297928,180.4950714111328,62303300,0.0,0.0,136.59323684759906,137.0027705026403,134.995064908622,135.57440185546875,22506000,0.0,0.0,366.9644073117081,370.0376074932349,364.5078321673447,365.75103759765625,20987000,0.0,0.0,144.69000244140625,146.58999633789062,144.52999877929688,145.24000549316406,45124800,0.0,0.0
2024-01-08 00:00:00-05:00,181.40163701859532,184.8983778074419,180.81387105846133,184.8585205078125,59144500,0.0,0.0,136.13375214890596,138.8506351943584,136.10378775983304,138.6808319091797,21404000,0.0,0.0,367.292633952991,373.1605884048141,367.0042321198686,372.6533508300781,23134000,0.0,0.0,146.74000549316406,149.39999389648438,146.14999389648438,149.10000610351562,46757100,0.0,0.0
